Report Date,County,Place of Fatality,Deaths by County of Residence
01/06/2022,Saratoga,199,277
01/06/2022,Schenectady,260,271
01/06/2022,Schoharie,7,30
01/06/2022,Schuyler,5,23
01/06/2022,Seneca,33,82
01/06/2022,St. Lawrence,150,161
01/06/2022,Statewide Total,"49,185","49,185"
01/06/2022,Steuben,177,221
01/06/2022,Suffolk,"3,908","3,890"
01/06/2022,Sullivan,83,104
01/06/2022,Tioga,40,79
01/06/2022,Tompkins,78,73
01/06/2022,Ulster,179,316
01/06/2022,Warren,172,109
01/06/2022,Washington,36,93
01/06/2022,Wayne,77,134
01/06/2022,Westchester,"2,666","2,444"
01/06/2022,Wyoming,61,74
01/06/2022,Yates,24,36
01/07/2021,Albany,335,226
01/07/2021,Allegany,54,75
01/07/2021,Bronx,"3,285","3,597"
01/07/2021,Broome,243,223
01/07/2021,Cattaraugus,50,54
01/07/2021,Cayuga,30,37
01/07/2021,Chautauqua,33,31
01/07/2021,Chemung,125,101
01/07/2021,Chenango,20,28
01/07/2021,Clinton,13,11
01/07/2021,Columbia,59,62
01/07/2021,Cortland,43,43
01/07/2021,Delaware,6,14
01/07/2021,Dutchess,277,263
01/07/2021,Erie,"1,372","1,282"
01/07/2021,Essex,13,16
01/07/2021,Franklin,8,9
01/07/2021,Fulton,28,40
01/07/2021,Genesee,67,73
01/07/2021,Greene,15,35
01/07/2021,Hamilton,0,1
01/07/2021,Herkimer,14,32
01/07/2021,Jefferson,11,14
01/07/2021,Kings,"4,969","5,526"
01/07/2021,Lewis,6,18
01/07/2021,Livingston,16,30
01/07/2021,Madison,67,72
01/07/2021,Manhattan,"3,696","2,284"
01/07/2021,Monroe,737,656
01/07/2021,Montgomery,56,59
01/07/2021,Nassau,"3,013","2,462"
01/07/2021,Niagara,149,208
